Year,Crime Type ID,Crime Type,State ID,State,Value
2015,104,Extorsión,16,Michoacán de Ocampo,86
2015,104,Extorsión,17,Morelos,344
2015,104,Extorsión,18,Nayarit,2
2015,104,Extorsión,19,Nuevo León,1018
2015,104,Extorsión,20,Oaxaca,66
2015,104,Extorsión,21,Puebla,546
2015,104,Extorsión,22,Querétaro,12
2015,104,Extorsión,23,Quintana Roo,232
2015,104,Extorsión,24,San Luis Potosí,282
2015,104,Extorsión,25,Sinaloa,256
2015,104,Extorsión,26,Sonora,40
2015,104,Extorsión,27,Tabasco,342
2015,104,Extorsión,28,Tamaulipas,348
2015,104,Extorsión,29,Tlaxcala,18
2015,104,Extorsión,30,Veracruz de Ignacio de la Llave,252
2015,104,Extorsión,31,Yucatán,136
2015,104,Extorsión,32,Zacatecas,182
2015,105,Fraude,1,Aguascalientes,2174
2015,105,Fraude,2,Baja California,3986
2015,105,Fraude,3,Baja California Sur,1292
2015,105,Fraude,4,Campeche,10
2015,105,Fraude,5,Coahuila de Zaragoza,1964
2015,105,Fraude,6,Colima,88
2015,105,Fraude,7,Chiapas,586
2015,105,Fraude,8,Chihuahua,5296
2015,105,Fraude,9,Ciudad de México,23342
2015,105,Fraude,10,Durango,4188
2015,105,Fraude,11,Guanajuato,4814
2015,105,Fraude,12,Guerrero,1476
2015,105,Fraude,13,Hidalgo,1796
2015,105,Fraude,14,Jalisco,12162
2015,105,Fraude,15,Estado de México,10284
2015,105,Fraude,16,Michoacán de Ocampo,1024
2015,105,Fraude,17,Morelos,3560
2015,105,Fraude,18,Nayarit,1082
2015,105,Fraude,19,Nuevo León,5004
2015,105,Fraude,20,Oaxaca,300
2015,105,Fraude,21,Puebla,8454
2015,105,Fraude,22,Querétaro,2964
2015,105,Fraude,23,Quintana Roo,2858
2015,105,Fraude,24,San Luis Potosí,2354
2015,105,Fraude,25,Sinaloa,866
2015,105,Fraude,26,Sonora,1298
2015,105,Fraude,27,Tabasco,2108
2015,105,Fraude,28,Tamaulipas,1934
2015,105,Fraude,29,Tlaxcala,692
2015,105,Fraude,30,Veracruz de Ignacio de la Llave,5204
2015,105,Fraude,31,Yucatán,3124
2015,105,Fraude,32,Zacatecas,1488
2015,106,Robo,1,Aguascalientes,21438
2015,106,Robo,2,Baja California,97676
2015,106,Robo,3,Baja California Sur,18226
2015,106,Robo,4,Campeche,1716
2015,106,Robo,5,Coahuila de Zaragoza,26280
2015,106,Robo,6,Colima,5972
2015,106,Robo,7,Chiapas,15860
2015,106,Robo,8,Chihuahua,32278
2015,106,Robo,9,Ciudad de México,154814
2015,106,Robo,10,Durango,20726
2015,106,Robo,11,Guanajuato,63310
2015,106,Robo,12,Guerrero,25200
2015,106,Robo,13,Hidalgo,19732
2015,106,Robo,14,Jalisco,54894
2015,106,Robo,15,Estado de México,337304
2015,106,Robo,16,Michoacán de Ocampo,32002
2015,106,Robo,17,Morelos,41128
2015,106,Robo,18,Nayarit,2936
2015,106,Robo,19,Nuevo León,29068
2015,106,Robo,20,Oaxaca,3474
2015,106,Robo,21,Puebla,46332
2015,106,Robo,22,Querétaro,35254
2015,106,Robo,23,Quintana Roo,25304
2015,106,Robo,24,San Luis Potosí,12066
2015,106,Robo,25,Sinaloa,20230
2015,106,Robo,26,Sonora,19994
2015,106,Robo,27,Tabasco,36182
2015,106,Robo,28,Tamaulipas,38546
2015,106,Robo,29,Tlaxcala,9472
2015,106,Robo,30,Veracruz de Ignacio de la Llave,35682
2015,106,Robo,31,Yucatán,7250
2015,106,Robo,32,Zacatecas,14772
2015,107,Otros Delitos contra el Patrimonio,1,Aguascalientes,2
2015,107,Otros Delitos contra el Patrimonio,2,Baja California,396
2015,107,Otros Delitos contra el Patrimonio,3,Baja California Sur,172
2015,107,Otros Delitos contra el Patrimonio,4,Campeche,64
2015,107,Otros Delitos contra el Patrimonio,5,Coahuila de Zaragoza,2222
2015,107,Otros Delitos contra el Patrimonio,6,Colima,10
2015,107,Otros Delitos contra el Patrimonio,7,Chiapas,4
2015,107,Otros Delitos contra el Patrimonio,8,Chihuahua,208
2015,107,Otros Delitos contra el Patrimonio,9,Ciudad de México,0
2015,107,Otros Delitos contra el Patrimonio,10,Durango,420
2015,107,Otros Delitos contra el Patrimonio,11,Guanajuato,0
2015,107,Otros Delitos contra el Patrimonio,12,Guerrero,150
2015,107,Otros Delitos contra el Patrimonio,13,Hidalgo,14
2015,107,Otros Delitos contra el Patrimonio,14,Jalisco,0
2015,107,Otros Delitos contra el Patrimonio,15,Estado de México,88
2015,107,Otros Delitos contra el Patrimonio,16,Michoacán de Ocampo,14
2015,107,Otros Delitos contra el Patrimonio,17,Morelos,524
2015,107,Otros Delitos contra el Patrimonio,18,Nayarit,16
2015,107,Otros Delitos contra el Patrimonio,19,Nuevo León,168
2015,107,Otros Delitos contra el Patrimonio,20,Oaxaca,566
2015,107,Otros Delitos contra el Patrimonio,21,Puebla,0
2015,107,Otros Delitos contra el Patrimonio,22,Querétaro,66
2015,107,Otros Delitos contra el Patrimonio,23,Quintana Roo,10
2015,107,Otros Delitos contra el Patrimonio,24,San Luis Potosí,12
2015,107,Otros Delitos contra el Patrimonio,25,Sinaloa,134
2015,107,Otros Delitos contra el Patrimonio,26,Sonora,0
2015,107,Otros Delitos contra el Patrimonio,27,Tabasco,298
2015,107,Otros Delitos contra el Patrimonio,28,Tamaulipas,0
2015,107,Otros Delitos contra el Patrimonio,29,Tlaxcala,44
2015,107,Otros Delitos contra el Patrimonio,30,Veracruz de Ignacio de la Llave,428
2015,107,Otros Delitos contra el Patrimonio,31,Yucatán,1546
2015,107,Otros Delitos contra el Patrimonio,32,Zacatecas,50
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,1,Aguascalientes,300
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,2,Baja California,3926
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,3,Baja California Sur,1052
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,4,Campeche,26
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,5,Coahuila de Zaragoza,1160
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,6,Colima,274
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,7,Chiapas,2250
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,8,Chihuahua,3914
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,9,Ciudad de México,1740
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,10,Durango,70
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,11,Guanajuato,2090
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,12,Guerrero,2138
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,13,Hidalgo,1266
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,14,Jalisco,0
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,15,Estado de México,6700
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,16,Michoacán de Ocampo,308
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,17,Morelos,506
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,18,Nayarit,1318
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,19,Nuevo León,1132
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,20,Oaxaca,34
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,21,Puebla,22
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,22,Querétaro,1624
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,23,Quintana Roo,2536
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,24,San Luis Potosí,870
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,25,Sinaloa,344
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,26,Sonora,6026
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,27,Tabasco,3952
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,28,Tamaulipas,4236
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,29,Tlaxcala,572
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,30,Veracruz de Ignacio de la Llave,2594
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,31,Yucatán,2424
2015,201,Incumplimiento de Obligaciones de Asistencia Familiar,32,Zacatecas,378
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,1,Aguascalientes,4
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,2,Baja California,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,3,Baja California Sur,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,4,Campeche,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,5,Coahuila de Zaragoza,26
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,6,Colima,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,7,Chiapas,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,8,Chihuahua,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,9,Ciudad de México,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,10,Durango,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,11,Guanajuato,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,12,Guerrero,30
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,13,Hidalgo,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,14,Jalisco,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,15,Estado de México,2198
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,16,Michoacán de Ocampo,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,17,Morelos,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,18,Nayarit,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,19,Nuevo León,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,20,Oaxaca,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,21,Puebla,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,22,Querétaro,4
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,23,Quintana Roo,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,24,San Luis Potosí,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,25,Sinaloa,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,26,Sonora,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,27,Tabasco,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,28,Tamaulipas,40
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,29,Tlaxcala,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,30,Veracruz de Ignacio de la Llave,988
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,31,Yucatán,0
2015,202,Violencia de Género en Todas sus Modalidades Distinta a la Violencia Familiar,32,Zacatecas,0
